Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,87,22,20,0,1,13,16,0,0,0
O1_fcse_follow_jumps,84 (3; 3.4%),12 (10; 45.5%),19 (1; 5.0%),0 (0; 0.0%),1 (0; 0.0%),15 (-2; -15.4%),22 (-6; -37.5%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O1_foptimize_sibling_calls,87 (0; 0.0%),13 (9; 40.9%),24 (-4; -20.0%),0 (0; 0.0%),1 (0; 0.0%),19 (-6; -46.2%),24 (-8; -50.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
O1_fpeephole2,87 (0; 0.0%),20 (2; 9.1%),22 (-2; -10.0%),0 (0; 0.0%),2 (-1; -100.0%),15 (-2; -15.4%),27 (-11; -68.8%),0 (0; 0.0%),0 (0; 0.0%),7 (-7; 0.0%)
O1_fstore_merging,88 (-1; -1.1%),21 (1; 4.5%),18 (2; 10.0%),0 (0; 0.0%),2 (-1; -100.0%),18 (-5; -38.5%),16 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%)
