Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,5169, ,2989, ,938, ,1083
O1_fcse_follow_jumps,5121,59.9%,2885,40.6%,1023,95.6%,1059,79.9%
O1_foptimize_sibling_calls,5361,53.9%,2973,30.7%,1034,94.6%,1185,77.3%
O1_fpeephole2,5534,65.2%,3060,47.9%,1034,96.7%,1260,83.3%
O1_fstore_merging,5176,46.0%,2920,25.9%,1002,81.0%,1090,68.3%
