Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,5169,2989,938,1083,159
O1_fcse_follow_jumps,5121 (48; 0.9%),2885 (104; 3.5%),1023 (-85; -9.1%),1059 (24; 2.2%),154 (5; 3.1%)
O1_foptimize_sibling_calls,5361 (-192; -3.7%),2973 (16; 0.5%),1034 (-96; -10.2%),1185 (-102; -9.4%),169 (-10; -6.3%)
O1_fpeephole2,5534 (-365; -7.1%),3060 (-71; -2.4%),1034 (-96; -10.2%),1260 (-177; -16.3%),180 (-21; -13.2%)
O1_fstore_merging,5176 (-7; -0.1%),2920 (69; 2.3%),1002 (-64; -6.8%),1090 (-7; -0.6%),164 (-5; -3.1%)
