Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,6932,3280,1769,1702,181
O2_fipa_cp_clone,7113 (-181; -2.6%),3356 (-76; -2.3%),1809 (-40; -2.3%),1793 (-91; -5.3%),155 (26; 14.4%)
