Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,340,282,29,28,1
O1,737 (-397; -116.8%),480 (-198; -70.2%),158 (-129; -444.8%),93 (-65; -232.1%),6 (-5; -500.0%)
O2,875 (-535; -157.4%),655 (-373; -132.3%),173 (-144; -496.6%),34 (-6; -21.4%),13 (-12; -1200.0%)
O3,954 (-614; -180.6%),658 (-376; -133.3%),209 (-180; -620.7%),68 (-40; -142.9%),19 (-18; -1800.0%)
