Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,24 of 35,9 of 17
O1,7 (0),30 (-6),15 (-6)
O2,8 (-1),27 (-3),13 (-4)
O3,7 (0),26 (-2),12 (-3)
