Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,0,1,0,0,0,0,0,0,0
O1,0 (0; 0.0%),1 (-1; 0.0%),3 (-2; -200.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (0; 0.0%),1 (-1; 0.0%),11 (-10; -1000.0%),0 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,0 (0; 0.0%),0 (0; 0.0%),13 (-12; -1200.0%),0 (0; 0.0%),0 (0; 0.0%),2 (-2; 0.0%),4 (-4; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
