Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,220,166,25,26,3
O1,304 (-84; -38.2%),269 (-103; -62.0%),18 (7; 28.0%),15 (11; 42.3%),2 (1; 33.3%)
O2,310 (-90; -40.9%),265 (-99; -59.6%),21 (4; 16.0%),21 (5; 19.2%),3 (0; 0.0%)
O3,316 (-96; -43.6%),263 (-97; -58.4%),20 (5; 20.0%),32 (-6; -23.1%),1 (2; 66.7%)
