Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,6 of 11,20 of 35,5 of 17
O1,6 (0),23 (-3),9 (-4)
O2,7 (-1),27 (-7),11 (-6)
O3,7 (-1),25 (-5),10 (-5)
