Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,535,459,54,19,3
O1_foptimize_sibling_calls,535 (0; 0.0%),459 (0; 0.0%),54 (0; 0.0%),19 (0; 0.0%),3 (0; 0.0%)
