Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O2,353,1.745042492917847,53,1.7169811320754718,56,2.392857142857143
O2-fgcse-after-reload,355 (-2),1.7507042253521128 (-0.00566173243426582),67 (-14),1.9850746268656716 (-0.26809349479019984),43 (13),1.5465116279069768 (0.846345514950166)
O2-finline-functions,338 (15),1.7144970414201184 (0.030545451497728582),50 (3),1.83 (-0.11301886792452831),48 (8),2.78125 (-0.3883928571428572)
O2-fipa-cp-clone,354 (-1),1.7387005649717515 (0.006341927946095449),35 (18),1.9428571428571428 (-0.22587601078167108),33 (23),1.803030303030303 (0.5898268398268398)
O2-fpeel-loops,353 (0),1.754957507082153 (-0.009915014164306069),62 (-9),1.7903225806451613 (-0.0733414485696895),40 (16),2.225 (0.1678571428571427)
O2-fpredictive-commoning,355 (-2),1.7507042253521128 (-0.00566173243426582),67 (-14),1.9850746268656716 (-0.26809349479019984),43 (13),1.5465116279069768 (0.846345514950166)
O2-fsplit-loops,355 (-2),1.7591549295774649 (-0.014112436659617922),62 (-9),1.8709677419354838 (-0.153986609860012),44 (12),1.4090909090909092 (0.9837662337662336)
O2-fsplit-paths,355 (-2),1.7591549295774649 (-0.014112436659617922),62 (-9),1.8709677419354838 (-0.153986609860012),44 (12),1.4090909090909092 (0.9837662337662336)
O2-ftree-loop-distribute-patterns,355 (-2),1.7535211267605635 (-0.008478633842716521),56 (-3),1.7767857142857142 (-0.05980458221024243),41 (15),1.7195121951219512 (0.6733449477351916)
O2-ftree-loop-vectorize,346 (7),1.7355491329479769 (0.009493359969870108),56 (-3),2.125 (-0.40801886792452824),44 (12),1.7954545454545454 (0.5974025974025974)
O2-ftree-partial-pre,357 (-4),1.6946778711484594 (0.05036462176938761),60 (-7),2.225 (-0.5080188679245283),41 (15),1.7195121951219512 (0.6733449477351916)
O2-ftree-slp-vectorize,355 (-2),1.7 (0.04504249291784701),60 (-7),1.7333333333333334 (-0.01635220125786163),38 (18),1.3157894736842106 (1.0770676691729322)
O2-funswitch-loops,351 (2),1.7492877492877492 (-0.0042452563699022505),51 (2),1.7156862745098038 (0.0012948575656679395),42 (14),2.392857142857143 (0.0)
