Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,7 of 11,21 of 35,9 of 17
O2-fgcse-after-reload,7 (0),21 (0),9 (0)
O2-finline-functions,7 (0),15 (6),7 (2)
O2-fipa-cp-clone,7 (0),20 (1),12 (-3)
O2-fpeel-loops,7 (0),21 (0),8 (1)
O2-fpredictive-commoning,7 (0),21 (0),9 (0)
O2-fsplit-loops,7 (0),21 (0),9 (0)
O2-fsplit-paths,7 (0),21 (0),9 (0)
O2-ftree-loop-distribute-patterns,7 (0),21 (0),9 (0)
O2-ftree-loop-vectorize,7 (0),21 (0),9 (0)
O2-ftree-partial-pre,8 (-1),18 (3),11 (-2)
O2-ftree-slp-vectorize,7 (0),16 (5),10 (-1)
O2-funswitch-loops,7 (0),21 (0),9 (0)
