Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O2,474, ,353, ,53, ,56
O2-fgcse-after-reload,476,15.3%,355,1.4%,67,58.2%,43,62.8%
O2-finline-functions,453,46.8%,338,34.9%,50,80.0%,48,95.8%
O2-fipa-cp-clone,432,36.6%,354,27.4%,35,80.0%,33,97.0%
O2-fpeel-loops,465,18.7%,353,4.0%,62,64.5%,40,80.0%
O2-fpredictive-commoning,476,15.3%,355,1.4%,67,58.2%,43,62.8%
O2-fsplit-loops,472,14.6%,355,1.4%,62,54.8%,44,63.6%
O2-fsplit-paths,472,14.6%,355,1.4%,62,54.8%,44,63.6%
O2-ftree-loop-distribute-patterns,462,13.0%,355,1.4%,56,51.8%,41,61.0%
O2-ftree-loop-vectorize,455,14.1%,346,2.6%,56,48.2%,44,63.6%
O2-ftree-partial-pre,470,29.1%,357,19.9%,60,61.7%,41,63.4%
O2-ftree-slp-vectorize,464,21.3%,355,11.0%,60,55.0%,38,65.8%
O2-funswitch-loops,455,22.9%,351,12.0%,51,58.8%,42,71.4%
