Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,3,15,19,0,2,11,11,0,0,9
O1-fpartial-inlining,3 (0; 0.0%),13 (2; 13.3%),20 (-1; -5.3%),0 (0; 0.0%),0 (2; 100.0%),8 (3; 27.3%),14 (-3; -27.3%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-fpeephole2,4 (-1; -33.3%),7 (8; 53.3%),23 (-4; -21.1%),0 (0; 0.0%),2 (0; 0.0%),7 (4; 36.4%),15 (-4; -36.4%),0 (0; 0.0%),0 (0; 0.0%),6 (3; 33.3%)
O1-freorder-blocks-and-partition,3 (0; 0.0%),11 (4; 26.7%),13 (6; 31.6%),0 (0; 0.0%),1 (1; 50.0%),11 (0; 0.0%),15 (-4; -36.4%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-freorder-functions,4 (-1; -33.3%),10 (5; 33.3%),13 (6; 31.6%),0 (0; 0.0%),1 (1; 50.0%),11 (0; 0.0%),11 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),7 (2; 22.2%)
O1-frerun-cse-after-loop,3 (0; 0.0%),16 (-1; -6.7%),15 (4; 21.1%),0 (0; 0.0%),2 (0; 0.0%),9 (2; 18.2%),12 (-1; -9.1%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fschedule-insns2,3 (0; 0.0%),14 (1; 6.7%),19 (0; 0.0%),0 (0; 0.0%),4 (-2; -100.0%),5 (6; 54.5%),16 (-5; -45.5%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fstore-merging,3 (0; 0.0%),15 (0; 0.0%),16 (3; 15.8%),0 (0; 0.0%),2 (0; 0.0%),7 (4; 36.4%),13 (-2; -18.2%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fstrict-aliasing,11 (-8; -266.7%),7 (8; 53.3%),13 (6; 31.6%),0 (0; 0.0%),0 (2; 100.0%),13 (-2; -18.2%),13 (-2; -18.2%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-fstrict-overflow,3 (0; 0.0%),11 (4; 26.7%),18 (1; 5.3%),0 (0; 0.0%),2 (0; 0.0%),12 (-1; -9.1%),14 (-3; -27.3%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-fthread-jumps,5 (-2; -66.7%),16 (-1; -6.7%),17 (2; 10.5%),0 (0; 0.0%),1 (1; 50.0%),8 (3; 27.3%),9 (2; 18.2%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-ftree-pre,4 (-1; -33.3%),7 (8; 53.3%),21 (-2; -10.5%),0 (0; 0.0%),1 (1; 50.0%),15 (-4; -36.4%),15 (-4; -36.4%),0 (0; 0.0%),0 (0; 0.0%),8 (1; 11.1%)
O1-ftree-switch-conversion,6 (-3; -100.0%),11 (4; 26.7%),18 (1; 5.3%),0 (0; 0.0%),1 (1; 50.0%),9 (2; 18.2%),19 (-8; -72.7%),0 (0; 0.0%),0 (0; 0.0%),7 (2; 22.2%)
O1-ftree-tail-merge,4 (-1; -33.3%),11 (4; 26.7%),18 (1; 5.3%),0 (0; 0.0%),2 (0; 0.0%),5 (6; 54.5%),12 (-1; -9.1%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
O1-ftree-vrp,3 (0; 0.0%),9 (6; 40.0%),30 (-11; -57.9%),0 (0; 0.0%),4 (-2; -100.0%),11 (0; 0.0%),8 (3; 27.3%),0 (0; 0.0%),0 (0; 0.0%),9 (0; 0.0%)
