Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O1,3, ,15, ,19, ,0, ,2, ,11, ,11, ,0, ,0, ,9
O1-falign-labels,5,40.0%,16,100.0%,17,88.2%,0,0.0%,1,0.0%,8,50.0%,9,44.4%,0,0.0%,0,0.0%,8,25.0%
O1-fcaller-saves,5,40.0%,13,100.0%,21,95.2%,0,0.0%,5,100.0%,13,100.0%,17,94.1%,0,0.0%,0,0.0%,8,25.0%
O1-fcode-hoisting,7,57.1%,13,100.0%,20,95.0%,0,0.0%,0,0.0%,12,100.0%,8,100.0%,0,0.0%,0,0.0%,7,14.3%
O1-fcrossjumping,3,0.0%,8,100.0%,14,92.9%,0,0.0%,0,0.0%,7,100.0%,7,100.0%,0,0.0%,0,0.0%,9,33.3%
O1-fcse-follow-jumps,3,0.0%,6,100.0%,18,88.9%,0,0.0%,1,100.0%,15,100.0%,14,100.0%,0,0.0%,0,0.0%,10,40.0%
O1-fdevirtualize,5,40.0%,16,100.0%,17,88.2%,0,0.0%,1,0.0%,8,50.0%,9,44.4%,0,0.0%,0,0.0%,8,25.0%
O1-fdevirtualize-speculatively,3,0.0%,11,100.0%,13,92.3%,0,0.0%,1,100.0%,11,72.7%,15,73.3%,0,0.0%,0,0.0%,9,33.3%
O1-fexpensive-optimizations,4,25.0%,14,100.0%,21,90.5%,0,0.0%,0,0.0%,10,100.0%,10,100.0%,0,0.0%,0,0.0%,9,33.3%
O1-fgcse,3,0.0%,9,100.0%,13,76.9%,0,0.0%,3,66.7%,7,100.0%,17,94.1%,0,0.0%,0,0.0%,11,27.3%
O1-fhoist-adjacent-loads,4,25.0%,11,100.0%,19,89.5%,0,0.0%,2,50.0%,5,20.0%,11,54.5%,0,0.0%,0,0.0%,10,40.0%
O1-findirect-inlining,4,25.0%,11,100.0%,19,89.5%,0,0.0%,2,50.0%,5,20.0%,11,54.5%,0,0.0%,0,0.0%,11,45.5%
O1-finline-small-functions,4,25.0%,9,100.0%,16,93.8%,0,0.0%,1,100.0%,10,100.0%,10,100.0%,0,0.0%,0,0.0%,7,14.3%
O1-fipa-bit-cp,3,0.0%,5,100.0%,13,76.9%,0,0.0%,1,0.0%,10,70.0%,15,66.7%,0,0.0%,0,0.0%,8,0.0%
O1-fipa-cp,3,0.0%,10,100.0%,15,80.0%,0,0.0%,2,50.0%,9,88.9%,8,75.0%,0,0.0%,0,0.0%,11,27.3%
O1-fipa-icf,3,0.0%,6,100.0%,14,78.6%,0,0.0%,1,0.0%,9,55.6%,15,66.7%,0,0.0%,0,0.0%,8,0.0%
O1-fipa-icf-functions,4,25.0%,11,100.0%,19,89.5%,0,0.0%,2,50.0%,5,20.0%,11,54.5%,0,0.0%,0,0.0%,11,45.5%
O1-fipa-icf-variables,4,25.0%,11,100.0%,19,89.5%,0,0.0%,2,50.0%,5,20.0%,11,54.5%,0,0.0%,0,0.0%,11,45.5%
O1-fipa-ra,3,0.0%,6,100.0%,13,76.9%,0,0.0%,1,0.0%,9,66.7%,15,66.7%,0,0.0%,0,0.0%,8,0.0%
O1-fipa-sra,5,40.0%,8,100.0%,24,91.7%,0,0.0%,0,0.0%,11,100.0%,12,75.0%,0,0.0%,0,0.0%,8,25.0%
O1-fipa-vrp,3,0.0%,6,100.0%,14,78.6%,0,0.0%,1,0.0%,9,55.6%,15,66.7%,0,0.0%,0,0.0%,8,0.0%
O1-fisolate-erroneous-paths-dereference,3,0.0%,11,100.0%,15,93.3%,0,0.0%,1,100.0%,13,84.6%,14,71.4%,0,0.0%,0,0.0%,8,25.0%
O1-flra-remat,3,0.0%,6,100.0%,13,76.9%,0,0.0%,1,0.0%,8,50.0%,15,66.7%,0,0.0%,0,0.0%,8,0.0%
O1-foptimize-sibling-calls,3,0.0%,9,100.0%,24,95.8%,0,0.0%,0,0.0%,10,100.0%,18,100.0%,0,0.0%,0,0.0%,4,100.0%
O1-foptimize-strlen,0,0.0%,14,100.0%,16,93.8%,0,0.0%,1,100.0%,14,100.0%,16,93.8%,0,0.0%,0,0.0%,9,33.3%
O1-fpartial-inlining,3,0.0%,13,100.0%,20,90.0%,0,0.0%,0,0.0%,8,100.0%,14,71.4%,0,0.0%,0,0.0%,8,25.0%
O1-fpeephole2,4,25.0%,7,100.0%,23,95.7%,0,0.0%,2,100.0%,7,100.0%,15,100.0%,0,0.0%,0,0.0%,6,0.0%
O1-freorder-blocks-and-partition,3,0.0%,11,100.0%,13,92.3%,0,0.0%,1,100.0%,11,72.7%,15,73.3%,0,0.0%,0,0.0%,9,33.3%
O1-freorder-functions,4,25.0%,10,100.0%,13,92.3%,0,0.0%,1,100.0%,11,100.0%,11,100.0%,0,0.0%,0,0.0%,7,14.3%
O1-frerun-cse-after-loop,3,0.0%,16,100.0%,15,80.0%,0,0.0%,2,50.0%,9,88.9%,12,83.3%,0,0.0%,0,0.0%,9,11.1%
O1-fschedule-insns2,3,0.0%,14,100.0%,19,89.5%,0,0.0%,4,100.0%,5,80.0%,16,75.0%,0,0.0%,0,0.0%,9,33.3%
O1-fstore-merging,3,0.0%,15,100.0%,16,81.2%,0,0.0%,2,50.0%,7,85.7%,13,61.5%,0,0.0%,0,0.0%,9,11.1%
O1-fstrict-aliasing,11,72.7%,7,100.0%,13,92.3%,0,0.0%,0,0.0%,13,92.3%,13,92.3%,0,0.0%,0,0.0%,9,33.3%
O1-fstrict-overflow,3,0.0%,11,100.0%,18,88.9%,0,0.0%,2,100.0%,12,100.0%,14,78.6%,0,0.0%,0,0.0%,8,25.0%
O1-fthread-jumps,5,40.0%,16,100.0%,17,88.2%,0,0.0%,1,0.0%,8,50.0%,9,44.4%,0,0.0%,0,0.0%,8,25.0%
O1-ftree-pre,4,100.0%,7,100.0%,21,90.5%,0,0.0%,1,100.0%,15,100.0%,15,100.0%,0,0.0%,0,0.0%,8,25.0%
O1-ftree-switch-conversion,6,50.0%,11,100.0%,18,94.4%,0,0.0%,1,100.0%,9,77.8%,19,78.9%,0,0.0%,0,0.0%,7,14.3%
O1-ftree-tail-merge,4,25.0%,11,100.0%,18,88.9%,0,0.0%,2,50.0%,5,20.0%,12,58.3%,0,0.0%,0,0.0%,9,33.3%
O1-ftree-vrp,3,0.0%,9,100.0%,30,96.7%,0,0.0%,4,100.0%,11,100.0%,8,100.0%,0,0.0%,0,0.0%,9,33.3%
