Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,2027,1.6250616674888998,1021,2.004407443682664,1245,1.582730923694779
O1-falign-labels,2037 (-10),1.6399116347569955 (-0.014849967268095732),991 (30),1.9939455095862766 (0.010461934096387404),1279 (-34),1.6493354182955433 (-0.06660449460076423)
O1-fcaller-saves,2061 (-34),1.6487142163998059 (-0.023652548910906068),961 (60),1.9791883454734651 (0.025219098209198876),1287 (-42),1.5784770784770785 (0.004253845217700558)
O1-fcode-hoisting,2056 (-29),1.6571011673151752 (-0.03203949982627541),1010 (11),1.9282178217821782 (0.07618962190048584),1277 (-32),1.5939702427564604 (-0.011239319061681297)
O1-fcrossjumping,2117 (-90),1.5999055266887103 (0.025156140800189464),1018 (3),1.899312377210216 (0.10509506647244793),1246 (-1),1.6079454253611556 (-0.02521450166637651)
O1-fcse-follow-jumps,2072 (-45),1.6291023166023166 (-0.004040649113416839),1021 (0),1.8942213516160626 (0.11018609206660135),1175 (70),1.631063829787234 (-0.048332906092454886)
O1-fdevirtualize,2037 (-10),1.6399116347569955 (-0.014849967268095732),991 (30),1.9939455095862766 (0.010461934096387404),1279 (-34),1.6493354182955433 (-0.06660449460076423)
O1-fdevirtualize-speculatively,2055 (-28),1.648661800486618 (-0.023600132997718237),1011 (10),1.9233432245301683 (0.08106421915249573),1248 (-3),1.5568910256410255 (0.02583989805375353)
O1-fexpensive-optimizations,2060 (-33),1.6487864077669903 (-0.02372474027809046),1006 (15),1.8503976143141152 (0.1540098293685488),1288 (-43),1.6265527950310559 (-0.043821871336276796)
O1-fgcse,2036 (-9),1.612229862475442 (0.012831805013457709),964 (57),1.9865145228215768 (0.01789292086108718),1257 (-12),1.5572792362768497 (0.02545168741792936)
O1-fhoist-adjacent-loads,2034 (-7),1.6386430678466077 (-0.01358140035770794),1051 (-30),1.978116079923882 (0.02629136375878205),1238 (7),1.6037964458804523 (-0.021065522185673258)
O1-findirect-inlining,2034 (-7),1.6386430678466077 (-0.01358140035770794),1061 (-40),1.9901036757775683 (0.014303767905095688),1235 (10),1.6072874493927125 (-0.02455652569793343)
O1-finline-small-functions,1982 (45),1.5829969727547932 (0.04206469473410657),963 (58),1.9854620976116304 (0.018945346071033597),1205 (40),1.654771784232365 (-0.07204086053758596)
O1-fipa-bit-cp,2039 (-12),1.656449239823443 (-0.031387572334543146),1019 (2),2.0098135426889105 (-0.005406099006246556),1230 (15),1.5495934959349593 (0.03313742775981976)
O1-fipa-cp,2067 (-40),1.6274794388001934 (-0.002417771311293615),971 (50),1.893923789907312 (0.11048365377535196),1211 (34),1.5805119735755573 (0.0022189501192217964)
O1-fipa-icf,2039 (-12),1.6476213830308974 (-0.02255971554199765),1040 (-19),1.9822115384615384 (0.022195905221125578),1239 (6),1.5306698950766748 (0.052061028618104244)
O1-fipa-icf-functions,2034 (-7),1.6386430678466077 (-0.01358140035770794),1059 (-38),1.9891406987724267 (0.015266744910237273),1235 (10),1.6072874493927125 (-0.02455652569793343)
O1-fipa-icf-variables,2034 (-7),1.6386430678466077 (-0.01358140035770794),1061 (-40),1.9901036757775683 (0.014303767905095688),1235 (10),1.6072874493927125 (-0.02455652569793343)
O1-fipa-ra,2042 (-15),1.6606268364348677 (-0.03556516894596795),1019 (2),2.0122669283611385 (-0.007859484678474526),1233 (12),1.5316301703163018 (0.051100753378477304)
O1-fipa-sra,2078 (-51),1.6595283926852744 (-0.034466725196374615),1046 (-25),1.9856596558317399 (0.018747787850924125),1259 (-14),1.5984908657664814 (-0.015759942071702282)
O1-fipa-vrp,2035 (-8),1.6491400491400492 (-0.024078381651149394),1040 (-19),1.9822115384615384 (0.022195905221125578),1239 (6),1.5306698950766748 (0.052061028618104244)
O1-fisolate-erroneous-paths-dereference,2064 (-37),1.6608527131782946 (-0.03579104568939484),1013 (8),1.914610069101678 (0.08979737458098591),1248 (-3),1.483974358974359 (0.09875656472042005)
O1-flra-remat,2038 (-11),1.6521099116781157 (-0.02704824418921592),1012 (9),2.005434782608696 (-0.0010273389260317956),1242 (3),1.5314009661835748 (0.05132995751120428)
O1-foptimize-sibling-calls,2106 (-79),1.6047008547008548 (0.020360812788045024),847 (174),1.9545454545454546 (0.049861989137209406),1171 (74),1.6084543125533732 (-0.025723388858594154)
O1-foptimize-strlen,2084 (-57),1.6693857965451055 (-0.04432412905620575),1049 (-28),1.9013346043851287 (0.1030728392975353),1224 (21),1.5714869281045751 (0.011243995590203948)
O1-fpartial-inlining,2071 (-44),1.6373732496378561 (-0.012311582148956335),952 (69),1.8781512605042017 (0.12625618317846232),1239 (6),1.6073446327683616 (-0.024613709073582513)
O1-fpeephole2,2138 (-111),1.6260523854069224 (-0.0009907179180226322),1060 (-39),1.743867924528302 (0.260539519154362),1314 (-69),1.7207001522070016 (-0.13796922851222249)
O1-freorder-blocks-and-partition,2055 (-28),1.648661800486618 (-0.023600132997718237),1017 (4),1.9149459193706981 (0.08946152431196586),1250 (-5),1.55 (0.032730923694779035)
O1-freorder-functions,2019 (8),1.638930163447251 (-0.013868495958351268),960 (61),1.8838541666666666 (0.12055327701599738),1260 (-15),1.6186507936507937 (-0.035919869956014594)
O1-frerun-cse-after-loop,2103 (-76),1.6469329529243937 (-0.02187128543549388),993 (28),2.01460221550856 (-0.010194771825895899),1306 (-61),1.6473966309341501 (-0.06466570723937104)
O1-fschedule-insns2,2040 (-13),1.6237745098039216 (0.001287157684978224),1011 (10),1.9980217606330366 (0.006385683049627389),1313 (-68),1.6824067022086824 (-0.0996757785139033)
O1-fstore-merging,2048 (-21),1.6337890625 (-0.008727395011100203),1002 (19),1.9396207584830338 (0.06478668519963016),1272 (-27),1.6151729559748427 (-0.03244203228006359)
O1-fstrict-aliasing,2030 (-3),1.630295566502463 (-0.005233899013563192),1007 (14),1.8823237338629593 (0.12208370981970473),1237 (8),1.5885206143896524 (-0.0057896906948733395)
O1-fstrict-overflow,2043 (-16),1.6390112579539893 (-0.013949590465089479),1035 (-14),2.0671497584541063 (-0.06274231477144232),1306 (-61),1.687978560490046 (-0.10524763679526683)
O1-fthread-jumps,2037 (-10),1.6399116347569955 (-0.014849967268095732),991 (30),1.9939455095862766 (0.010461934096387404),1279 (-34),1.6493354182955433 (-0.06660449460076423)
O1-ftree-pre,2131 (-104),1.5936180197090568 (0.03144364777984299),942 (79),1.8503184713375795 (0.15408897234508445),1217 (28),1.6947411668036154 (-0.11201024310883634)
O1-ftree-switch-conversion,2060 (-33),1.633252427184466 (-0.008190759695566152),1038 (-17),1.8376685934489403 (0.1667388502337237),1250 (-5),1.5716 (0.011130923694778971)
O1-ftree-tail-merge,2036 (-9),1.6404715127701375 (-0.015409845281237677),1036 (-15),2.025096525096525 (-0.020689081413860944),1243 (2),1.6098149637972647 (-0.027084040102485663)
O1-ftree-vrp,2109 (-82),1.6557610241820768 (-0.030699356693177027),962 (59),2.0114345114345116 (-0.007027067751847582),1225 (20),1.6285714285714286 (-0.04584050487664948)
