Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,4363, ,2027, ,1021, ,1245
O1-falign-labels,4371,34.6%,2037,3.9%,991,76.9%,1279,48.9%
O1-fcaller-saves,4391,63.4%,2061,41.9%,961,88.1%,1287,77.8%
O1-fcode-hoisting,4410,58.1%,2056,39.6%,1010,87.1%,1277,63.5%
O1-fcrossjumping,4429,59.9%,2117,44.7%,1018,88.0%,1246,61.9%
O1-fcse-follow-jumps,4335,56.1%,2072,38.2%,1021,88.0%,1175,58.6%
O1-fdevirtualize,4371,34.6%,2037,3.9%,991,76.9%,1279,48.9%
O1-fdevirtualize-speculatively,4377,36.0%,2055,4.9%,1011,80.0%,1248,49.7%
O1-fexpensive-optimizations,4422,57.8%,2060,39.0%,1006,86.6%,1288,63.9%
O1-fgcse,4320,59.5%,2036,42.3%,964,84.9%,1257,67.1%
O1-fhoist-adjacent-loads,4385,35.0%,2034,3.8%,1051,78.5%,1238,47.7%
O1-findirect-inlining,4393,35.1%,2034,3.8%,1061,78.7%,1235,47.5%
O1-finline-small-functions,4207,56.4%,1982,39.3%,963,86.3%,1205,59.3%
O1-fipa-bit-cp,4343,35.5%,2039,7.0%,1019,76.5%,1230,47.6%
O1-fipa-cp,4307,50.0%,2067,33.6%,971,79.2%,1211,53.6%
O1-fipa-icf,4374,34.1%,2039,3.9%,1040,77.2%,1239,46.7%
O1-fipa-icf-functions,4391,35.1%,2034,3.8%,1059,78.7%,1235,47.5%
O1-fipa-icf-variables,4393,35.1%,2034,3.8%,1061,78.7%,1235,47.5%
O1-fipa-ra,4349,35.7%,2042,7.2%,1019,76.9%,1233,47.6%
O1-fipa-sra,4451,53.9%,2078,35.6%,1046,83.7%,1259,57.9%
O1-fipa-vrp,4370,34.1%,2035,3.7%,1040,77.2%,1239,46.7%
O1-fisolate-erroneous-paths-dereference,4390,39.3%,2064,10.4%,1013,80.8%,1248,51.5%
O1-flra-remat,4346,33.6%,2038,3.9%,1012,76.4%,1242,46.7%
O1-foptimize-sibling-calls,4192,55.1%,2106,39.6%,847,84.7%,1171,59.4%
O1-foptimize-strlen,4427,53.8%,2084,35.3%,1049,84.2%,1224,57.2%
O1-fpartial-inlining,4328,45.3%,2071,23.6%,952,78.2%,1239,54.6%
O1-fpeephole2,4576,64.8%,2138,51.4%,1060,89.4%,1314,65.8%
O1-freorder-blocks-and-partition,4385,36.1%,2055,4.9%,1017,80.1%,1250,49.8%
O1-freorder-functions,4296,53.2%,2019,33.3%,960,84.3%,1260,60.0%
O1-frerun-cse-after-loop,4468,53.0%,2103,38.2%,993,76.8%,1306,57.7%
O1-fschedule-insns2,4434,58.1%,2040,40.8%,1011,82.3%,1313,65.4%
O1-fstore-merging,4387,50.1%,2048,33.3%,1002,76.9%,1272,55.3%
O1-fstrict-aliasing,4340,53.9%,2030,35.3%,1007,83.7%,1237,58.6%
O1-fstrict-overflow,4452,54.9%,2043,37.2%,1035,81.9%,1306,59.7%
O1-fthread-jumps,4371,34.6%,2037,3.9%,991,76.9%,1279,48.9%
O1-ftree-pre,4361,60.6%,2131,44.4%,942,88.6%,1217,65.4%
O1-ftree-switch-conversion,4419,40.3%,2060,11.7%,1038,80.6%,1250,51.7%
O1-ftree-tail-merge,4376,34.8%,2036,3.9%,1036,78.1%,1243,47.9%
O1-ftree-vrp,4370,58.1%,2109,41.6%,962,87.9%,1225,61.4%
