Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,10 of 11,35 of 35,16 of 17
O1-falign-labels,10 (0),34 (1),16 (0)
O1-fcaller-saves,9 (1),33 (2),15 (1)
O1-fcode-hoisting,10 (0),34 (1),16 (0)
O1-fcrossjumping,10 (0),34 (1),17 (-1)
O1-fcse-follow-jumps,10 (0),34 (1),16 (0)
O1-fdevirtualize,10 (0),34 (1),16 (0)
O1-fdevirtualize-speculatively,10 (0),34 (1),16 (0)
O1-fexpensive-optimizations,11 (-1),35 (0),16 (0)
O1-fgcse,11 (-1),35 (0),16 (0)
O1-fhoist-adjacent-loads,10 (0),34 (1),16 (0)
O1-findirect-inlining,10 (0),34 (1),16 (0)
O1-finline-small-functions,10 (0),35 (0),16 (0)
O1-fipa-bit-cp,10 (0),34 (1),16 (0)
O1-fipa-cp,10 (0),34 (1),17 (-1)
O1-fipa-icf,10 (0),34 (1),16 (0)
O1-fipa-icf-functions,10 (0),34 (1),16 (0)
O1-fipa-icf-variables,10 (0),34 (1),16 (0)
O1-fipa-ra,10 (0),34 (1),16 (0)
O1-fipa-sra,11 (-1),35 (0),16 (0)
O1-fipa-vrp,10 (0),34 (1),16 (0)
O1-fisolate-erroneous-paths-dereference,10 (0),34 (1),16 (0)
O1-flra-remat,10 (0),34 (1),16 (0)
O1-foptimize-sibling-calls,9 (1),34 (1),16 (0)
O1-foptimize-strlen,10 (0),34 (1),16 (0)
O1-fpartial-inlining,10 (0),34 (1),15 (1)
O1-fpeephole2,9 (1),33 (2),16 (0)
O1-freorder-blocks-and-partition,10 (0),34 (1),16 (0)
O1-freorder-functions,10 (0),34 (1),16 (0)
O1-frerun-cse-after-loop,10 (0),34 (1),17 (-1)
O1-fschedule-insns2,10 (0),34 (1),15 (1)
O1-fstore-merging,10 (0),34 (1),17 (-1)
O1-fstrict-aliasing,10 (0),34 (1),17 (-1)
O1-fstrict-overflow,11 (-1),35 (0),17 (-1)
O1-fthread-jumps,10 (0),34 (1),16 (0)
O1-ftree-pre,10 (0),34 (1),16 (0)
O1-ftree-switch-conversion,10 (0),34 (1),16 (0)
O1-ftree-tail-merge,10 (0),34 (1),16 (0)
O1-ftree-vrp,10 (0),34 (1),17 (-1)
