Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,18 of 35,5 of 17
O0_fomit_frame_pointer,6 (1),16 (2),4 (1)
O0_fshrink_wrap,7 (0),18 (0),5 (0)
