Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,88,65,15,6,2
O0_fomit_frame_pointer,80 (8; 9.1%),66 (-1; -1.5%),5 (10; 66.7%),7 (-1; -16.7%),2 (0; 0.0%)
O0_fshrink_wrap,88 (0; 0.0%),65 (0; 0.0%),15 (0; 0.0%),6 (0; 0.0%),2 (0; 0.0%)
