Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,7 of 11,12 of 35,7 of 17
O0_fomit_frame_pointer,6 (1),20 (-8),7 (0)
O0_fshrink_wrap,7 (0),16 (-4),8 (-1)
