Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,307,211,34,61,1
O0_fomit_frame_pointer,344 (-37; -12.1%),256 (-45; -21.3%),38 (-4; -11.8%),46 (15; 24.6%),4 (-3; -300.0%)
O0_fshrink_wrap,316 (-9; -2.9%),220 (-9; -4.3%),32 (2; 5.9%),61 (0; 0.0%),3 (-2; -200.0%)
