Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,5561,1994,1273,2205,89
O1,7863 (-2302; -41.4%),3740 (-1746; -87.6%),1859 (-586; -46.0%),2118 (87; 3.9%),146 (-57; -64.0%)
O2,6209 (-648; -11.7%),2642 (-648; -32.5%),868 (405; 31.8%),2597 (-392; -17.8%),102 (-13; -14.6%)
O3,7007 (-1446; -26.0%),2910 (-916; -45.9%),1060 (213; 16.7%),2923 (-718; -32.6%),114 (-25; -28.1%)
