Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,1994,1.7866098294884654,1273,1.6535742340926944,2205,1.6841269841269841
O1,3740 (-1746),1.770855614973262 (0.015754214515203424),1859 (-586),1.6514254975793436 (0.0021487365133507907),2118 (87),1.6725684608120868 (0.011558523314897373)
O2,2642 (-648),1.6392884178652536 (0.14732141162321177),868 (405),1.701036866359447 (-0.047462632266752625),2597 (-392),1.7194840200231036 (-0.03535703589611949)
O3,2910 (-916),1.6556701030927834 (0.13093972639568197),1060 (213),1.524056603773585 (0.12951763031910946),2923 (-718),1.662504276428327 (0.02162270769865704)
