Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,5561, ,1994, ,1273, ,2205
O1,7863,96.3%,3740,96.4%,1859,95.8%,2118,96.6%
O2,6209,96.3%,2642,94.7%,868,94.5%,2597,98.8%
O3,7007,96.6%,2910,95.1%,1060,95.6%,2923,98.7%
