Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,33 of 35,16 of 17
O1,10 (-2),33 (0),16 (0)
O2,10 (-2),33 (0),17 (-1)
O3,11 (-3),34 (-1),16 (0)
