Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,17,8,24,0,2,12,22,0,0,4
O1,13 (4; 23.5%),15 (-7; -87.5%),58 (-34; -141.7%),0 (0; 0.0%),5 (-3; -150.0%),21 (-9; -75.0%),24 (-2; -9.1%),0 (0; 0.0%),0 (0; 0.0%),10 (-6; -150.0%)
O2,24 (-7; -41.2%),6 (2; 25.0%),54 (-30; -125.0%),0 (0; 0.0%),2 (0; 0.0%),5 (7; 58.3%),11 (11; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (4; 100.0%)
O3,27 (-10; -58.8%),8 (0; 0.0%),45 (-21; -87.5%),0 (0; 0.0%),3 (-1; -50.0%),10 (2; 16.7%),19 (3; 13.6%),0 (0; 0.0%),0 (0; 0.0%),2 (2; 50.0%)
