Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,1058,720,159,173,6
O1_fcse_follow_jumps,1039 (19; 1.8%),706 (14; 1.9%),155 (4; 2.5%),172 (1; 0.6%),6 (0; 0.0%)
O1_foptimize_sibling_calls,1045 (13; 1.2%),721 (-1; -0.1%),161 (-2; -1.3%),154 (19; 11.0%),9 (-3; -50.0%)
O1_fpeephole2,1021 (37; 3.5%),696 (24; 3.3%),143 (16; 10.1%),173 (0; 0.0%),9 (-3; -50.0%)
O1_fstore_merging,1069 (-11; -1.0%),713 (7; 1.0%),167 (-8; -5.0%),180 (-7; -4.0%),9 (-3; -50.0%)
