Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,9 of 11,31 of 35,14 of 17
O1_fcse_follow_jumps,7 (2),28 (3),11 (3)
O1_foptimize_sibling_calls,8 (1),31 (0),14 (0)
O1_fpeephole2,7 (2),28 (3),14 (0)
O1_fstore_merging,7 (2),28 (3),13 (1)
