Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,5,30,43,0,4,23,35,0,0,6
O1,1 (4; 80.0%),66 (-36; -120.0%),147 (-104; -241.9%),0 (0; 0.0%),10 (-6; -150.0%),52 (-29; -126.1%),41 (-6; -17.1%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%)
O2,8 (-3; -60.0%),23 (7; 23.3%),158 (-115; -267.4%),0 (0; 0.0%),9 (-5; -125.0%),26 (-3; -13.0%),31 (4; 11.4%),0 (0; 0.0%),0 (0; 0.0%),2 (4; 66.7%)
O3,2 (3; 60.0%),22 (8; 26.7%),146 (-103; -239.5%),0 (0; 0.0%),6 (-2; -50.0%),19 (4; 17.4%),34 (1; 2.9%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%)
