Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,8146,2267,2127,3606,146
O1,10054 (-1908; -23.4%),3584 (-1317; -58.1%),2465 (-338; -15.9%),3685 (-79; -2.2%),320 (-174; -119.2%)
O2,9125 (-979; -12.0%),3426 (-1159; -51.1%),2074 (53; 2.5%),3368 (238; 6.6%),257 (-111; -76.0%)
O3,9162 (-1016; -12.5%),3383 (-1116; -49.2%),1959 (168; 7.9%),3588 (18; 0.5%),232 (-86; -58.9%)
