Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,2267,1.8405381561535068,2127,2.125293841090738,3606,2.187465335551858
O1,3584 (-1317),1.7903180803571428 (0.050220075796364005),2465 (-338),1.9150101419878296 (0.21028369910290845),3685 (-79),2.0725915875169605 (0.11487374803489736)
O2,3426 (-1159),1.8193228254524227 (0.021215330701084056),2074 (53),1.9197203471552555 (0.20557349393548252),3368 (238),2.1941805225653206 (-0.006715187013462742)
O3,3383 (-1116),1.7815548329884718 (0.05898332316503496),1959 (168),1.9788157223072997 (0.1464781187834383),3588 (18),2.1598383500557414 (0.02762698549611642)
