Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,3,7,0,0,3,2,0,0,0
O1,1 (-1; 0.0%),1 (2; 66.7%),3 (4; 57.1%),0 (0; 0.0%),0 (0; 0.0%),0 (3; 100.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (0; 0.0%),0 (3; 100.0%),3 (4; 57.1%),0 (0; 0.0%),1 (-1; 0.0%),4 (-1; -33.3%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,0 (0; 0.0%),4 (-1; -33.3%),1 (6; 85.7%),0 (0; 0.0%),1 (-1; 0.0%),3 (0; 0.0%),1 (1; 50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
