Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O0,1033, ,628, ,203, ,187
O1,1058,95.5%,720,94.3%,159,98.1%,173,97.7%
O2,1161,96.3%,827,95.6%,169,97.6%,155,98.1%
O3,1476,96.2%,944,96.1%,302,96.7%,220,95.9%
