Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O0,8 of 11,25 of 35,11 of 17
O1,9 (-1),31 (-6),14 (-3)
O2,8 (0),28 (-3),11 (0)
O3,8 (0),29 (-4),12 (-1)
