Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,1033,628,203,187,15
O1,1058 (-25; -2.4%),720 (-92; -14.6%),159 (44; 21.7%),173 (14; 7.5%),6 (9; 60.0%)
O2,1161 (-128; -12.4%),827 (-199; -31.7%),169 (34; 16.7%),155 (32; 17.1%),10 (5; 33.3%)
O3,1476 (-443; -42.9%),944 (-316; -50.3%),302 (-99; -48.8%),220 (-33; -17.6%),10 (5; 33.3%)
