Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,71,59,7,3,2
O0_fomit_frame_pointer,77 (-6; -8.5%),66 (-7; -11.9%),5 (2; 28.6%),4 (-1; -33.3%),2 (0; 0.0%)
O0_tailcallelim,84 (-13; -18.3%),68 (-9; -15.3%),10 (-3; -42.9%),5 (-2; -66.7%),1 (1; 50.0%)
