Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,3,7,45,0,4,13,14,0,0,5
O1-constmerge,11 (-8; -266.7%),2 (5; 71.4%),14 (31; 68.9%),0 (0; 0.0%),0 (4; 100.0%),4 (9; 69.2%),17 (-3; -21.4%),0 (0; 0.0%),0 (0; 0.0%),7 (-2; -40.0%)
O1-elim-avail-extern,8 (-5; -166.7%),1 (6; 85.7%),13 (32; 71.1%),0 (0; 0.0%),0 (4; 100.0%),5 (8; 61.5%),18 (-4; -28.6%),0 (0; 0.0%),0 (0; 0.0%),6 (-1; -20.0%)
O1-gvn,8 (-5; -166.7%),3 (4; 57.1%),12 (33; 73.3%),0 (0; 0.0%),1 (3; 75.0%),2 (11; 84.6%),14 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),5 (0; 0.0%)
O1-inline,8 (-5; -166.7%),1 (6; 85.7%),14 (31; 68.9%),0 (0; 0.0%),0 (4; 100.0%),3 (10; 76.9%),16 (-2; -14.3%),0 (0; 0.0%),0 (0; 0.0%),5 (0; 0.0%)
O1-mldst-motion,11 (-8; -266.7%),2 (5; 71.4%),14 (31; 68.9%),0 (0; 0.0%),0 (4; 100.0%),3 (10; 76.9%),17 (-3; -21.4%),0 (0; 0.0%),0 (0; 0.0%),7 (-2; -40.0%)
O1-slp-vectorizer,8 (-5; -166.7%),1 (6; 85.7%),9 (36; 80.0%),0 (0; 0.0%),1 (3; 75.0%),5 (8; 61.5%),13 (1; 7.1%),0 (0; 0.0%),0 (0; 0.0%),10 (-5; -100.0%)
