Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,4368,2209,841,1227,91
O1-constmerge,3208 (1160; 26.6%),1435 (774; 35.0%),662 (179; 21.3%),1056 (171; 13.9%),55 (36; 39.6%)
O1-elim-avail-extern,3153 (1215; 27.8%),1415 (794; 35.9%),654 (187; 22.2%),1033 (194; 15.8%),51 (40; 44.0%)
O1-gvn,3093 (1275; 29.2%),1409 (800; 36.2%),640 (201; 23.9%),999 (228; 18.6%),45 (46; 50.5%)
O1-inline,3124 (1244; 28.5%),1407 (802; 36.3%),666 (175; 20.8%),1004 (223; 18.2%),47 (44; 48.4%)
O1-mldst-motion,3194 (1174; 26.9%),1426 (783; 35.4%),660 (181; 21.5%),1054 (173; 14.1%),54 (37; 40.7%)
O1-slp-vectorizer,3166 (1202; 27.5%),1422 (787; 35.6%),658 (183; 21.8%),1039 (188; 15.3%),47 (44; 48.4%)
