Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,340,282,29,28,1
O0_fomit_frame_pointer,452 (-112; -32.9%),364 (-82; -29.1%),22 (7; 24.1%),61 (-33; -117.9%),5 (-4; -400.0%)
O0_tailcallelim,448 (-108; -31.8%),328 (-46; -16.3%),41 (-12; -41.4%),77 (-49; -175.0%),2 (-1; -100.0%)
