Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,561, ,387, ,52, ,117
O1-falign-labels,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fcaller-saves,596,38.1%,415,28.2%,52,67.3%,127,59.1%
O1-fcode-hoisting,574,28.4%,400,23.8%,50,54.0%,121,33.9%
O1-fcrossjumping,550,24.9%,385,18.2%,49,57.1%,112,33.9%
O1-fcse-follow-jumps,584,34.1%,386,24.1%,47,61.7%,147,51.7%
O1-fdevirtualize,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fdevirtualize-speculatively,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fexpensive-optimizations,556,27.5%,385,20.5%,44,50.0%,122,41.0%
O1-fgcse,589,37.7%,391,29.2%,59,61.0%,132,51.5%
O1-fhoist-adjacent-loads,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-findirect-inlining,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-finline-small-functions,553,31.6%,373,23.1%,45,68.9%,129,42.6%
O1-fipa-bit-cp,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fipa-cp,591,28.8%,404,19.6%,47,57.4%,133,45.1%
O1-fipa-icf,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fipa-icf-functions,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fipa-icf-variables,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fipa-ra,576,20.5%,405,15.1%,50,44.0%,116,28.4%
O1-fipa-sra,537,23.5%,385,19.0%,38,47.4%,110,30.9%
O1-fipa-vrp,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fisolate-erroneous-paths-dereference,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-flra-remat,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-foptimize-sibling-calls,624,32.7%,424,23.6%,67,61.2%,127,46.5%
O1-foptimize-strlen,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fpartial-inlining,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-fpeephole2,571,40.6%,407,37.8%,43,62.8%,117,42.7%
O1-freorder-blocks-and-partition,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-freorder-functions,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-frerun-cse-after-loop,571,28.4%,396,22.7%,51,58.8%,121,34.7%
O1-fschedule-insns2,585,28.4%,407,23.3%,49,24.5%,124,45.2%
O1-fstore-merging,586,25.4%,395,17.2%,54,53.7%,130,36.9%
O1-fstrict-aliasing,602,33.2%,407,25.1%,63,65.1%,127,43.3%
O1-fstrict-overflow,546,24.7%,390,21.0%,39,46.2%,112,29.5%
O1-fthread-jumps,563,16.7%,397,11.1%,39,25.6%,121,30.6%
O1-ftree-pre,576,32.3%,397,25.2%,52,63.5%,120,40.8%
O1-ftree-switch-conversion,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-ftree-tail-merge,561,0.0%,387,0.0%,52,0.0%,117,0.0%
O1-ftree-vrp,567,28.4%,396,23.5%,39,43.6%,124,37.1%
