Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O1,9 of 11,18 of 35,8 of 17
O1-falign-labels,9 (0),18 (0),8 (0)
O1-fcaller-saves,9 (0),18 (0),8 (0)
O1-fcode-hoisting,9 (0),19 (-1),8 (0)
O1-fcrossjumping,9 (0),18 (0),9 (-1)
O1-fcse-follow-jumps,9 (0),18 (0),7 (1)
O1-fdevirtualize,9 (0),18 (0),8 (0)
O1-fdevirtualize-speculatively,9 (0),18 (0),8 (0)
O1-fexpensive-optimizations,9 (0),18 (0),8 (0)
O1-fgcse,9 (0),23 (-5),9 (-1)
O1-fhoist-adjacent-loads,9 (0),18 (0),8 (0)
O1-findirect-inlining,9 (0),18 (0),8 (0)
O1-finline-small-functions,9 (0),25 (-7),11 (-3)
O1-fipa-bit-cp,9 (0),18 (0),8 (0)
O1-fipa-cp,9 (0),18 (0),8 (0)
O1-fipa-icf,9 (0),18 (0),8 (0)
O1-fipa-icf-functions,9 (0),18 (0),8 (0)
O1-fipa-icf-variables,9 (0),18 (0),8 (0)
O1-fipa-ra,9 (0),18 (0),8 (0)
O1-fipa-sra,9 (0),20 (-2),9 (-1)
O1-fipa-vrp,9 (0),18 (0),8 (0)
O1-fisolate-erroneous-paths-dereference,9 (0),18 (0),8 (0)
O1-flra-remat,9 (0),18 (0),8 (0)
O1-foptimize-sibling-calls,9 (0),20 (-2),8 (0)
O1-foptimize-strlen,9 (0),18 (0),8 (0)
O1-fpartial-inlining,9 (0),18 (0),8 (0)
O1-fpeephole2,8 (1),21 (-3),9 (-1)
O1-freorder-blocks-and-partition,9 (0),18 (0),8 (0)
O1-freorder-functions,9 (0),18 (0),8 (0)
O1-frerun-cse-after-loop,9 (0),18 (0),8 (0)
O1-fschedule-insns2,9 (0),24 (-6),8 (0)
O1-fstore-merging,9 (0),18 (0),8 (0)
O1-fstrict-aliasing,9 (0),22 (-4),8 (0)
O1-fstrict-overflow,9 (0),21 (-3),9 (-1)
O1-fthread-jumps,9 (0),18 (0),8 (0)
O1-ftree-pre,9 (0),22 (-4),8 (0)
O1-ftree-switch-conversion,9 (0),18 (0),8 (0)
O1-ftree-tail-merge,9 (0),18 (0),8 (0)
O1-ftree-vrp,9 (0),23 (-5),10 (-2)
