Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O1,387,1.6175710594315245,52,1.6730769230769231,117,1.3632478632478633
O1-falign-labels,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fcaller-saves,415 (-28),1.569879518072289 (0.04769154135923537),52 (0),1.7211538461538463 (-0.04807692307692313),127 (-10),1.3779527559055118 (-0.014704892657648516)
O1-fcode-hoisting,400 (-13),1.5675 (0.05007105943152457),50 (2),1.71 (-0.036923076923076836),121 (-4),1.4297520661157024 (-0.06650420286783909)
O1-fcrossjumping,385 (2),1.6025974025974026 (0.014973656834121885),49 (3),1.2857142857142858 (0.3873626373626373),112 (5),1.3258928571428572 (0.03735500610500608)
O1-fcse-follow-jumps,386 (1),1.5945595854922279 (0.02301147393929659),47 (5),2.0425531914893615 (-0.3694762684124384),147 (-30),1.5816326530612246 (-0.2183847898133613)
O1-fdevirtualize,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fdevirtualize-speculatively,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fexpensive-optimizations,385 (2),1.596103896103896 (0.021467163327628436),44 (8),1.9659090909090908 (-0.2928321678321677),122 (-5),1.610655737704918 (-0.2474078744570547)
O1-fgcse,391 (-4),1.6687979539641944 (-0.05122689453266993),59 (-7),2.0338983050847457 (-0.36082138200782254),132 (-15),1.4507575757575757 (-0.0875097125097124)
O1-fhoist-adjacent-loads,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-findirect-inlining,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-finline-small-functions,373 (14),1.6099195710455765 (0.00765148838594798),45 (7),1.5777777777777777 (0.0952991452991454),129 (-12),1.449612403100775 (-0.08636453985291181)
O1-fipa-bit-cp,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fipa-cp,404 (-17),1.6002475247524752 (0.017323534679049235),47 (5),1.5957446808510638 (0.07733224222585933),133 (-16),1.605263157894737 (-0.24201529464687366)
O1-fipa-icf,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fipa-icf-functions,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fipa-icf-variables,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fipa-ra,405 (-18),1.6209876543209876 (-0.0034165948894631093),50 (2),1.7 (-0.026923076923076827),116 (1),1.5 (-0.1367521367521367)
O1-fipa-sra,385 (2),1.6168831168831168 (0.0006879425484076496),38 (14),1.9473684210526316 (-0.2742914979757085),110 (7),1.4181818181818182 (-0.05493395493395492)
O1-fipa-vrp,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fisolate-erroneous-paths-dereference,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-flra-remat,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-foptimize-sibling-calls,424 (-37),1.5636792452830188 (0.053891814148505635),67 (-15),1.671641791044776 (0.0014351320321470684),127 (-10),1.874015748031496 (-0.5107678847836328)
O1-foptimize-strlen,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fpartial-inlining,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-fpeephole2,407 (-20),1.7027027027027026 (-0.08513164327117817),43 (9),1.755813953488372 (-0.08273703041144898),117 (0),1.5811965811965811 (-0.21794871794871784)
O1-freorder-blocks-and-partition,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-freorder-functions,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-frerun-cse-after-loop,396 (-9),1.5883838383838385 (0.029187221047686007),51 (1),1.803921568627451 (-0.13084464555052788),121 (-4),1.3636363636363635 (-0.0003885003885002458)
O1-fschedule-insns2,407 (-20),1.5687960687960687 (0.04877499063545576),49 (3),1.969387755102041 (-0.29631083202511777),124 (-7),1.3346774193548387 (0.028570443893024544)
O1-fstore-merging,395 (-8),1.6177215189873417 (-0.00015045955581727277),54 (-2),1.9259259259259258 (-0.2528490028490027),130 (-13),1.5346153846153847 (-0.17136752136752142)
O1-fstrict-aliasing,407 (-20),1.6400491400491402 (-0.022478080617615692),63 (-11),1.6904761904761905 (-0.017399267399267337),127 (-10),1.5039370078740157 (-0.14068914462615245)
O1-fstrict-overflow,390 (-3),1.6538461538461537 (-0.03627509441462928),39 (13),1.4102564102564104 (0.2628205128205128),112 (5),1.2678571428571428 (0.0953907203907205)
O1-fthread-jumps,397 (-10),1.5730478589420656 (0.0445232004894589),39 (13),1.1666666666666667 (0.5064102564102564),121 (-4),1.2768595041322315 (0.08638835911563181)
O1-ftree-pre,397 (-10),1.605793450881612 (0.011777608549912388),52 (0),1.8365384615384615 (-0.16346153846153832),120 (-3),1.4375 (-0.07425213675213671)
O1-ftree-switch-conversion,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-ftree-tail-merge,387 (0),1.6175710594315245 (0.0),52 (0),1.6730769230769231 (0.0),117 (0),1.3632478632478633 (0.0)
O1-ftree-vrp,396 (-9),1.5391414141414141 (0.07842964529011032),39 (13),1.564102564102564 (0.10897435897435903),124 (-7),1.6008064516129032 (-0.23755858836503996)
