Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,1000,701,121,165,13
O1_foptimize_sibling_calls,1000 (0; 0.0%),701 (0; 0.0%),121 (0; 0.0%),165 (0; 0.0%),13 (0; 0.0%)
