Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0,21, ,48, ,58, ,0, ,9, ,111, ,70, ,0, ,0, ,18
O0-fbranch-count-reg,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-fcombine-stack-adjustments,15,66.7%,44,81.8%,69,89.9%,0,0.0%,6,100.0%,121,86.0%,81,79.0%,0,0.0%,0,0.0%,20,30.0%
O0-fcompare-elim,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-fcprop-registers,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-fdefer-pop,14,64.3%,48,85.4%,49,85.7%,0,0.0%,3,100.0%,116,50.9%,64,70.3%,0,0.0%,0,0.0%,16,18.8%
O0-fforward-propagate,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-fguess-branch-probability,22,68.2%,41,87.8%,57,93.0%,0,0.0%,7,85.7%,107,29.9%,62,58.1%,0,0.0%,0,0.0%,17,29.4%
O0-fif-conversion,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-fif-conversion2,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-finline-functions-called-once,22,68.2%,41,87.8%,57,93.0%,0,0.0%,7,85.7%,107,29.9%,62,58.1%,0,0.0%,0,0.0%,17,29.4%
