Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,11147,1.8677222571095362,3346,2.121936640765093,4644,1.7786391042204996
O0-fbranch-count-reg,11106 (41),1.8687196110210698 (-0.0009973539115335495),3431 (-85),2.047945205479452 (0.07399143528564078),4470 (174),1.7298657718120805 (0.04877333240841919)
O0-fcombine-stack-adjustments,11028 (119),1.8526478055857816 (0.01507445152375464),3338 (8),2.1246255242660275 (-0.002688883500934658),4464 (180),1.7757616487455197 (0.002877455474979973)
O0-fcompare-elim,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4443 (201),1.7847175331982894 (-0.006078428977789763)
O0-fcprop-registers,11105 (42),1.8687077892841062 (-0.0009855321745699808),3430 (-84),2.0479591836734694 (0.0739774570916234),4472 (172),1.7293157423971377 (0.049323361823361944)
O0-fdefer-pop,11030 (117),1.871985494106981 (-0.004263236997444686),3286 (60),2.140444309190505 (-0.018507668425412405),4444 (200),1.7703645364536453 (0.008274567766854313)
O0-fforward-propagate,11106 (41),1.8687196110210698 (-0.0009973539115335495),3431 (-85),2.047945205479452 (0.07399143528564078),4470 (174),1.7298657718120805 (0.04877333240841919)
O0-fguess-branch-probability,11132 (15),1.8724398131512756 (-0.004717556041739401),3319 (27),2.1759566134377826 (-0.054019972672689764),4622 (22),1.7920813500649069 (-0.01344224584440723)
O0-fif-conversion,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4443 (201),1.7847175331982894 (-0.006078428977789763)
O0-fif-conversion2,11105 (42),1.8687077892841062 (-0.0009855321745699808),3430 (-84),2.0479591836734694 (0.0739774570916234),4472 (172),1.7293157423971377 (0.049323361823361944)
O0-finline-functions-called-once,11130 (17),1.873225516621743 (-0.005503259512206871),3319 (27),2.175052726724917 (-0.05311608595982431),4623 (21),1.7935323383084578 (-0.014893234087958174)
O0-fipa-profile,11080 (67),1.8655234657039712 (0.0021987914055650037),3262 (84),2.1448497854077253 (-0.0229131446426325),4443 (201),1.7847175331982894 (-0.006078428977789763)
O0-fipa-pure-const,10912 (235),1.8543346774193548 (0.01338757969018145),3496 (-150),2.169908466819222 (-0.047971826054129085),4292 (352),1.734156570363467 (0.04448253385703271)
O0-fipa-reference,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4443 (201),1.7847175331982894 (-0.006078428977789763)
O0-fmove-loop-invariants,11133 (14),1.8724512709961376 (-0.0047290138866014075),3320 (26),2.1753012048192772 (-0.05336456405418444),4622 (22),1.7920813500649069 (-0.01344224584440723)
O0-fomit-frame-pointer,6925 (4222),2.267581227436823 (-0.3998589703272868),2783 (563),2.0091627739849085 (0.1127738667801843),3633 (1011),1.852188274153592 (-0.07354916993309235)
O0-freorder-blocks,11105 (42),1.8687077892841062 (-0.0009855321745699808),3430 (-84),2.0479591836734694 (0.0739774570916234),4472 (172),1.7293157423971377 (0.049323361823361944)
O0-fshrink-wrap,11362 (-215),1.8316757613096286 (0.036046495799907596),3804 (-458),2.241062039957939 (-0.11912539919284626),4384 (260),1.7251368613138687 (0.05350224290663097)
O0-fsplit-wide-types,11106 (41),1.8687196110210698 (-0.0009973539115335495),3431 (-85),2.047945205479452 (0.07399143528564078),4470 (174),1.7298657718120805 (0.04877333240841919)
O0-fssa-phiopt,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
