Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,83,30,12,0,4,23,17,0,0,1
O1,83 (0; 0.0%),34 (-4; -13.3%),19 (-7; -58.3%),0 (0; 0.0%),8 (-4; -100.0%),46 (-23; -100.0%),18 (-1; -5.9%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
O2,87 (-4; -4.8%),31 (-1; -3.3%),23 (-11; -91.7%),0 (0; 0.0%),8 (-4; -100.0%),34 (-11; -47.8%),17 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
O3,85 (-2; -2.4%),31 (-1; -3.3%),24 (-12; -100.0%),0 (0; 0.0%),10 (-6; -150.0%),30 (-7; -30.4%),16 (1; 5.9%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
