Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,4146,2152,949,875,170
O1,5596 (-1450; -35.0%),2963 (-811; -37.7%),1289 (-340; -35.8%),1136 (-261; -29.8%),208 (-38; -22.4%)
O2,5296 (-1150; -27.7%),2786 (-634; -29.5%),1276 (-327; -34.5%),1033 (-158; -18.1%),201 (-31; -18.2%)
O3,5400 (-1254; -30.2%),2839 (-687; -31.9%),1366 (-417; -43.9%),998 (-123; -14.1%),197 (-27; -15.9%)
