Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,6021,2690,1390,1845,96
O1_fcse_follow_jumps,6119 (-98; -1.6%),2655 (35; 1.3%),1476 (-86; -6.2%),1871 (-26; -1.4%),117 (-21; -21.9%)
O1_foptimize_sibling_calls,6147 (-126; -2.1%),2753 (-63; -2.3%),1495 (-105; -7.6%),1773 (72; 3.9%),126 (-30; -31.2%)
O1_fpeephole2,6239 (-218; -3.6%),2833 (-143; -5.3%),1410 (-20; -1.4%),1864 (-19; -1.0%),132 (-36; -37.5%)
O1_fstore_merging,6162 (-141; -2.3%),2638 (52; 1.9%),1479 (-89; -6.4%),1931 (-86; -4.7%),114 (-18; -18.8%)
