Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O1,2,15,30,0,1,16,21,0,0,11
O1_fcse_follow_jumps,6 (-4; -200.0%),16 (-1; -6.7%),29 (1; 3.3%),0 (0; 0.0%),5 (-4; -400.0%),19 (-3; -18.8%),32 (-11; -52.4%),0 (0; 0.0%),0 (0; 0.0%),10 (1; 9.1%)
O1_foptimize_sibling_calls,5 (-3; -150.0%),14 (1; 6.7%),56 (-26; -86.7%),0 (0; 0.0%),5 (-4; -400.0%),22 (-6; -37.5%),19 (2; 9.5%),0 (0; 0.0%),0 (0; 0.0%),5 (6; 54.5%)
O1_fpeephole2,7 (-5; -250.0%),16 (-1; -6.7%),42 (-12; -40.0%),0 (0; 0.0%),5 (-4; -400.0%),20 (-4; -25.0%),34 (-13; -61.9%),0 (0; 0.0%),0 (0; 0.0%),8 (3; 27.3%)
O1_fstore_merging,1 (1; 50.0%),21 (-6; -40.0%),28 (2; 6.7%),0 (0; 0.0%),5 (-4; -400.0%),20 (-4; -25.0%),30 (-9; -42.9%),0 (0; 0.0%),0 (0; 0.0%),9 (2; 18.2%)
