Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,14,35,41,0,1,103,42,0,0,7
O1,21 (-7; -50.0%),13 (22; 62.9%),35 (6; 14.6%),0 (0; 0.0%),3 (-2; -200.0%),14 (89; 86.4%),43 (-1; -2.4%),0 (0; 0.0%),0 (0; 0.0%),8 (-1; -14.3%)
O2,22 (-8; -57.1%),20 (15; 42.9%),109 (-68; -165.9%),0 (0; 0.0%),4 (-3; -300.0%),25 (78; 75.7%),32 (10; 23.8%),0 (0; 0.0%),0 (0; 0.0%),17 (-10; -142.9%)
O3,11 (3; 21.4%),21 (14; 40.0%),108 (-67; -163.4%),0 (0; 0.0%),10 (-9; -900.0%),25 (78; 75.7%),36 (6; 14.3%),0 (0; 0.0%),0 (0; 0.0%),17 (-10; -142.9%)
