Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,16142,8906,3814,3179,243
O1,13512 (2630; 16.3%),9443 (-537; -6.0%),1371 (2443; 64.1%),2561 (618; 19.4%),137 (106; 43.6%)
O2,15139 (1003; 6.2%),9757 (-851; -9.6%),2446 (1368; 35.9%),2707 (472; 14.8%),229 (14; 5.8%)
O3,16464 (-322; -2.0%),10663 (-1757; -19.7%),2540 (1274; 33.4%),3033 (146; 4.6%),228 (15; 6.2%)
