Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0,8906,2.0259937121041993,3814,2.229024646040902,3179,1.8095312991506762
O1,9443 (-537),1.786455575558615 (0.23953813654558442),1371 (2443),1.62436177972283 (0.604662866318072),2561 (618),1.6085513471300272 (0.200979952020649)
O2,9757 (-851),1.9745823511325202 (0.05141136097167909),2446 (1368),1.2970155355682746 (0.9320091104726274),2707 (472),1.541743627632065 (0.26778767151861116)
O3,10663 (-1757),1.8548719872456156 (0.17112172485858368),2540 (1274),1.2511811023622048 (0.9778435436786972),3033 (146),1.5044510385756678 (0.3050802605750085)
