Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,3,3,1,0,0,1,0,0,0,0
O1,0 (3; 100.0%),0 (3; 100.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O2,0 (3; 100.0%),0 (3; 100.0%),5 (-4; -400.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O3,0 (3; 100.0%),0 (3; 100.0%),1 (0; 0.0%),0 (0; 0.0%),1 (-1; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
