Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O0,519,320,132,59,8
O1,608 (-89; -17.1%),522 (-202; -63.1%),43 (89; 67.4%),42 (17; 28.8%),1 (7; 87.5%)
O2,698 (-179; -34.5%),559 (-239; -74.7%),77 (55; 41.7%),56 (3; 5.1%),6 (2; 25.0%)
O3,739 (-220; -42.4%),606 (-286; -89.4%),65 (67; 50.8%),66 (-7; -11.9%),2 (6; 75.0%)
