Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O3,143, ,127, ,12, ,2
O3-no-tail-call-elim,136,37.5%,117,29.9%,14,78.6%,5,100.0%
