Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O3,143,127,12,2,2
O3-no-tail-call-elim,136 (7; 4.9%),117 (10; 7.9%),14 (-2; -16.7%),5 (-3; -150.0%),0 (2; 100.0%)
