Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
O2,9 of 11,34 of 35,16 of 17
O2-aggressive-instcombine,9 (0),32 (2),14 (2)
O2-argpromotion,9 (0),32 (2),14 (2)
O2-callsite-splitting,9 (0),32 (2),15 (1)
