Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O2,2,8,49,0,0,10,14,0,0,2
O2-aggressive-instcombine,8 (-6; -300.0%),4 (4; 50.0%),15 (34; 69.4%),0 (0; 0.0%),0 (0; 0.0%),5 (5; 50.0%),19 (-5; -35.7%),0 (0; 0.0%),0 (0; 0.0%),9 (-7; -350.0%)
O2-argpromotion,11 (-9; -450.0%),2 (6; 75.0%),14 (35; 71.4%),0 (0; 0.0%),0 (0; 0.0%),3 (7; 70.0%),17 (-3; -21.4%),0 (0; 0.0%),0 (0; 0.0%),7 (-5; -250.0%)
O2-callsite-splitting,8 (-6; -300.0%),1 (7; 87.5%),13 (36; 73.5%),0 (0; 0.0%),0 (0; 0.0%),5 (5; 50.0%),18 (-4; -28.6%),0 (0; 0.0%),0 (0; 0.0%),6 (-4; -200.0%)
