Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,4432,2092,725,1530,85
O2-aggressive-instcombine,3103 (1329; 30.0%),1418 (674; 32.2%),640 (85; 11.7%),985 (545; 35.6%),60 (25; 29.4%)
O2-argpromotion,3194 (1238; 27.9%),1426 (666; 31.8%),660 (65; 9.0%),1054 (476; 31.1%),54 (31; 36.5%)
O2-callsite-splitting,3154 (1278; 28.8%),1412 (680; 32.5%),656 (69; 9.5%),1035 (495; 32.4%),51 (34; 40.0%)
