Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O1,117,101,15,0,1
O1_fcse_follow_jumps,119 (-2; -1.7%),102 (-1; -1.0%),14 (1; 6.7%),2 (-2; 0.0%),1 (0; 0.0%)
O1_foptimize_sibling_calls,107 (10; 8.5%),90 (11; 10.9%),13 (2; 13.3%),3 (-3; 0.0%),1 (0; 0.0%)
O1_fpeephole2,116 (1; 0.9%),99 (2; 2.0%),13 (2; 13.3%),2 (-2; 0.0%),2 (-1; -100.0%)
O1_fstore_merging,117 (0; 0.0%),101 (0; 0.0%),15 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
