Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
O1,117, ,101, ,15, ,0
O1_fcse_follow_jumps,119,13.4%,102,7.8%,14,42.9%,2,100.0%
O1_foptimize_sibling_calls,107,25.2%,90,14.4%,13,84.6%,3,100.0%
O1_fpeephole2,116,22.4%,99,13.1%,13,76.9%,2,100.0%
O1_fstore_merging,117,0.0%,101,0.0%,15,0.0%,0,0.0%
