Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
O0,0,0,5,0,1,2,0,0,0,0
O0_fomit_frame_pointer,0 (0; 0.0%),1 (-1; 0.0%),2 (3; 60.0%),0 (0; 0.0%),0 (1; 100.0%),1 (1; 50.0%),1 (-1; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
O0_fshrink_wrap,0 (0; 0.0%),0 (0; 0.0%),5 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),3 (-1; -50.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
