Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
O2,15139,9757,2446,2707,229
O2_fipa_cp_clone,14853 (286; 1.9%),9628 (129; 1.3%),2271 (175; 7.2%),2745 (-38; -1.4%),209 (20; 8.7%)
